DESCRICAO,SUPERMERCADO
PAPEL H NEVE C12,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"

QUEIJO MUSS FATIADO 200G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
QUEIJO MUSS 200GR,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
QJO MUS FATIADO 200G,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
QUEIJO MUSS FATIADO 200 G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"

MANTEIGA AVIACAO 200G,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
MANT AVIACAO 200G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
MANTEIGA AVIAÇAO 200 G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
AVIAÇÃO MANTEIGA 200 GR,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"

IOGURTE NESTLE MORANGO 170G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
IOG NESTL MOR 170G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
IOG NEST MORANG 170 GR,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
IOGURTE NESTLE MOR 170G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"

FEIJAO CARIOCA 1KG,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
FEIJ CARIOCA 1 KG,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
FEIJAO CARC 1KG,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
FEIJ CARIOCA TP 1KG,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"

CREME DENTAL COLGATE 90G,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
CREME DENT COLGATE 90G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
CREME DENT COLG 90 G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
COLGATE CREME DEN. 90G TP,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"

MACARRAO RENATA ESPAGUETE 500G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
MAC RENATA ESP 500G,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
MACARRAO RNT ESP 500G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
ESPAGUETE RENATA 500G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"

FRANGO PERDIGAO CONG 1KG,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
FRANG PERD 1KG,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
FRANGO PERD 1 KG,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
FRANGO PERDIGÃO 1KG,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"

FRANGO PERDIGAO 500G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
FRANG PERD 500G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
FRANGO PERD 500 GR,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
FRANGO PERDIGAO CX 500G,"ATACK, AV. AUTAZES 550, DISTRITO INDUSTRIAL, MANAUS-AM"

ACUCAR REFINADO UNIÃO 1KG,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
ACUCAR UNIAO 1 KG,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
ACUC UNIAO 1KG,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
ACUCAR REFI UNIAO 1KG,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"

FARINHA LACTEA NESTLE 400G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
FAR LAC NESTLE 400G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
FAR LACT NESTL 400GR,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
FAR LACTEA NEST 400G,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
